year,team,conference,rating,ranking,secondOrderWins,sos,offense.ranking,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.ranking,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2021,Georgia,SEC,32.0,1.0,,,2.0,41.4,,,,,,,,,1.0,10.3,,,,,,,,,,
2021,Ohio State,Big Ten,29.3,2.0,,,1.0,47.2,,,,,,,,,20.0,20.6,,,,,,,,,,
2021,Alabama,SEC,26.0,3.0,,,4.0,40.9,,,,,,,,,9.0,15.6,,,,,,,,,,
2021,Michigan,Big Ten,23.4,4.0,,,19.0,36.5,,,,,,,,,10.0,15.8,,,,,,,,,,
2021,Cincinnati,Big 12,21.2,5.0,,,13.0,37.5,,,,,,,,,11.0,15.9,,,,,,,,,,
2021,Texas A&M,SEC,21.1,6.0,,,35.0,33.6,,,,,,,,,7.0,14.9,,,,,,,,,,
2021,Wisconsin,Big Ten,20.1,7.0,,,58.0,29.8,,,,,,,,,2.0,10.8,,,,,,,,,,
2021,Clemson,ACC,18.7,8.0,,,71.0,28.3,,,,,,,,,3.0,11.6,,,,,,,,,,
2021,Pittsburgh,ACC,17.6,9.0,,,9.0,38.2,,,,,,,,,29.0,21.4,,,,,,,,,,
2021,Tennessee,SEC,17.5,10.0,,,7.0,39.4,,,,,,,,,47.0,23.8,,,,,,,,,,
2021,Notre Dame,FBS Independents,17.4,11.0,,,20.0,36.2,,,,,,,,,15.0,18.9,,,,,,,,,,
2021,Oklahoma State,Big 12,17.2,12.0,,,53.0,30.6,,,,,,,,,4.0,14.3,,,,,,,,,,
2021,Oklahoma,SEC,16.8,13.0,,,3.0,41.1,,,,,,,,,57.0,25.6,,,,,,,,,,
2021,NC State,ACC,16.1,14.0,,,39.0,33.1,,,,,,,,,14.0,17.7,,,,,,,,,,
2021,Baylor,Big 12,15.6,15.0,,,39.0,33.1,,,,,,,,,12.0,17.1,,,,,,,,,,
2021,Utah,Big 12,15.2,16.0,,,14.0,37.2,,,,,,,,,21.0,20.7,,,,,,,,,,
2021,Ole Miss,SEC,14.8,17.0,,,17.0,36.8,,,,,,,,,36.0,22.4,,,,,,,,,,
2021,Minnesota,Big Ten,14.4,18.0,,,63.0,29.3,,,,,,,,,8.0,15.4,,,,,,,,,,
2021,Iowa State,Big 12,14.3,19.0,,,34.0,33.8,,,,,,,,,19.0,20.2,,,,,,,,,,
2021,Penn State,Big Ten,14.3,19.0,,,72.0,28.0,,,,,,,,,6.0,14.6,,,,,,,,,,
2021,Kansas State,Big 12,14.2,21.0,,,36.0,33.5,,,,,,,,,16.0,19.0,,,,,,,,,,
2021,Arkansas,SEC,13.8,22.0,,,31.0,34.3,,,,,,,,,27.0,21.3,,,,,,,,,,
2021,Kentucky,SEC,13.4,23.0,,,21.0,35.1,,,,,,,,,35.0,22.3,,,,,,,,,,
2021,Western Kentucky,Conference USA,13.3,24.0,,,5.0,40.5,,,,,,,,,90.0,28.8,,,,,,,,,,
2021,Coastal Carolina,Sun Belt,13.2,25.0,,,6.0,39.5,,,,,,,,,62.0,26.1,,,,,,,,,,
2021,Arizona State,Big 12,11.8,26.0,,,36.0,33.5,,,,,,,,,24.0,20.9,,,,,,,,,,
2021,Iowa,Big Ten,11.4,27.0,,,93.0,23.6,,,,,,,,,5.0,14.4,,,,,,,,,,
2021,Michigan State,Big Ten,11.2,28.0,,,31.0,34.3,,,,,,,,,30.0,21.7,,,,,,,,,,
2021,Florida,SEC,11.0,29.0,,,22.0,35.0,,,,,,,,,39.0,23.2,,,,,,,,,,
2021,Auburn,SEC,11.0,29.0,,,56.0,30.2,,,,,,,,,17.0,19.8,,,,,,,,,,
